1202.34,1202.57,Bed006-cA,b,,,,uh-huh .
1204.32,1204.63,Bed006-cA,b,,,,mm-hmm .
1205.22,1206.23,Bed006-c2,fh,,,,and ==
1207.36,1211.48,Bed006-c2,s^cs,2a,,,you can speak into it and ask for t_v and movie information .
1208.86,1209.16,Bed006-c4,s^ba,2b,,,toll .
1211.48,1212.06,Bed006-c2,s.%--,,,,and then when ==
1212.35,1217.27,Bed006-c2,s,3a,,,if - if something actually happens and some answers come out then we're done .
1217.38,1217.63,Bed006-cA,b,,,,mm-hmm .
1220.03,1222.19,Bed006-cA,s^2,3b.4a,,,if - and they're kind of correct .
1220.9,1221.93,Bed006-c4,s^bs,,,,so it's not done basically .
1222.5,1223.08,Bed006-c2,qw^br,4b.5a,,,hmm ?
1222.96,1224.51,Bed006-cA,s,5b.6a,,,and they kind of are - are correct .
1223.69,1223.91,Bed006-c4,s^bk,6b,,,right .
1225.05,1226.21,Bed006-cA,s^e,7a,,,it's not just like anything .
1225.38,1228.05,Bed006-c4,s,7b,,,perhaps if the answers have something to do with the questions for example .
1227.12,1228.31,Bed006-cA,s^e,,10=l=a.a,,and they're mostly in english .
1228.73,1228.95,Bed006-cA,fh.x,,b.c,,so ==
1230.1,1230.7,Bed006-c2,fh,,,,then um ==
1230.56,1231.98,Bed006-cA,qy^rt,8a,r-,,are they - is it using the database ?
1231.98,1233.83,Bed006-cA,s^e,8a+,,,the german t_v movie .
1233.96,1234.14,Bed006-c2,s^aa,8b.9a,20=w0=a;c.a,,yeah .
1234.36,1234.62,Bed006-cA,s^bk,9b,,,o_k .
1234.62,1238.67,Bed006-cA,s,9b+.10a,b,,so all the actual data might be german names .
1238.24,1240.22,Bed006-c2,fh,10b,,,um - well actually th- - um ==
1240.02,1241.6,Bed006-cA,qrr,9b++,b,,or are they all like american t_v programs ?
1242.45,1243.51,Bed006-c2,%-,,,,um - well ==
1243.23,1244.91,Bed006-c4,s^j,,b.e,,i want to see die dukes von hazard {@reject@} .
1247.52,1247.89,Bed006-c2,%-,,,,the ==
1249.21,1254.98,Bed006-c2,fg|s,,,,o_k | so you don't know how the german dialogue - uh - the german - the demo dialogue actually works .
1254.98,1255.35,Bed006-c2,s.%--,,,,it works ==
1255.35,1258.63,Bed006-c2,s,,,,the first thing is what's you know showing on t_v .
1259.16,1262.87,Bed006-c2,s^rt,,,,and then the person is presented with what's running on t_v .
1263.22,1265.57,Bed006-c2,s^e,,,,in germany on that day on that evening .
1264.07,1264.65,Bed006-cA,b^rt,,,,mm-hmm .
1264.84,1265.28,Bed006-cA,b,,,,mm-hmm .
1266.34,1270.44,Bed006-c2,s:s^ba,,,,and so you take one look at it and then you say well that's really nothing - there's nothing for me there .
1270.98,1272.66,Bed006-c2,qh,,,,what's running in the cinemas ?
1272.54,1273.03,Bed006-cA,b,,,,mm-hmm .
1272.8,1274.36,Bed006-c2,s^rt,,,,so maybe there's something better happening there .
1274.79,1278.27,Bed006-c2,s^rt,,,,and then you get - you're shown what movies play which films .
1278.66,1283.37,Bed006-c2,s,,,,and it's gonna be of course all the heidelberg movies and what films they are actually showing .
1282.79,1283.1,Bed006-cA,b,,,,mm-hmm .
1283.88,1286.37,Bed006-c2,s,,,,and most of them are going to be hollywood movies .
1286.67,1287.01,Bed006-cA,b,,,,hmm .
1286.79,1288.34,Bed006-c2,s,11a,,,so american beauty is american beauty .
1288.73,1288.99,Bed006-c2,qy^d^f^g^rt,11a+,,,right ?
1288.99,1289.33,Bed006-c2,fh,,,,yeah .
1289.04,1289.39,Bed006-c4,x,,,,mm-hmm .
1289.39,1289.65,Bed006-cA,s^aa,11b,,,right .
1290.53,1291.27,Bed006-c2,fh,,,,and um ==
1292.38,1293.64,Bed006-cA,s^bu^rt,12a,,,but they're shown like on a screen .
1293.69,1296.17,Bed006-cA,qy^bu.%--,12a+,,,it's a - i mean so would the generator ?==
1294.1,1294.84,Bed006-c2,%--,,,,n- ==
1296.17,1301.94,Bed006-cA,s^bu:s,12a++,,,like the english language sentence of it is these are the follow- - you know the following films are being shown or something like that .
1301.63,1306.76,Bed006-c2,s^aa|s^nd,12b.13a,,,yeah | but it in that sense it doesn't make - in that case uh - it doesn't really make sense to read them out loud .
1302.42,1302.72,Bed006-cA,%-,,,,s- ==
1306.85,1307.13,Bed006-cA,s^bk,13b,,,right .
1307.3,1308.26,Bed006-cA,s.%--,,,,so it'll just display ==
1307.39,1308.13,Bed006-c2,s^e,,,,if you're displaying them .
1308.57,1308.8,Bed006-cA,s^bk,,,,o_k .
1309.29,1310.72,Bed006-cA,s.%-,,,,so we don't have to worry about um ==
1309.51,1313.47,Bed006-c2,s,,,,but uh - it'll tell you that this is what's showing in heidelberg and there you go .
1312.46,1312.63,Bed006-cA,b,,,,yeah .
1313.47,1316.03,Bed006-c2,s:s^fe,,,,and the presentation agent will go nuh .
1313.84,1314.08,Bed006-cA,b,,,,o_k .
1316.66,1317.93,Bed006-c2,s,,,,like that - the avatar .
1317.2,1317.44,Bed006-cA,b,,,,o_k .
1318.74,1319.88,Bed006-c2,fh,,,,and um ==
1320.74,1324.49,Bed006-c2,s,,,,and then you pick - pick a movie and - and - and it show- - shows you the times .
1324.49,1325.21,Bed006-c2,s,,,,and you pick a time .
1325.21,1326.62,Bed006-c2,s,,,,and you pick seats and all of this .
1326.62,1326.75,Bed006-c2,fh,,,,so ==
1327.56,1327.69,Bed006-cA,b,,,,o_k .
1329.93,1330.71,Bed006-c2,s^ba,,,,pretty straightforward .
1331.24,1331.5,Bed006-c4,b,,,,o_k .
1333.76,1337.39,Bed006-c2,s^ba,14a,,,but it's - so this time we - we are at an advantage .
1337.39,1341.54,Bed006-c2,s^df,14a+,,,because it was a problem for the german system to incorporate all these english movie titles .
1341.53,1341.74,Bed006-cA,b,,,,yeah .
1342.28,1342.48,Bed006-c2,qy^d^f^g^rt,14a++,,,nuh ?
1342.78,1343.09,Bed006-cA,s^bk,14b,,,right .
1343.05,1345.15,Bed006-c2,s^ba,,,,but in english that's not really a problem .
1345.18,1345.5,Bed006-cA,b,,,,mm-hmm .
1345.99,1351.73,Bed006-c2,s^df,,,,unless we get some - some topical german movies that have just come out and that are in their database .
1352.14,1352.36,Bed006-cA,b,,,,right .
1352.57,1357.18,Bed006-c2,s,15a,,,so the person may select huehner rennen or whatever .
1357.48,1357.94,Bed006-c4,s,15b,,,chicken run .
1360.6,1360.98,Bed006-c2,s^bk^rt^tc,,,,o_k .
1362.07,1363.97,Bed006-c2,s^t^tc,16a,,,then uh - on to the modeling .
1365.62,1365.89,Bed006-c2,qy^d^g^rt,16a+,,,right ?
1366.98,1368.22,Bed006-c1,s,16b,,,yeah yeah i guess .
1369.32,1371.16,Bed006-c2,fh|s^t1,,,,um - | then modeling .
1372.92,1373.28,Bed006-c2,s^t1,,,,there it is .
1375.01,1376.08,Bed006-c4,fg|qw,,,,o_k | what's the next thing ?
1375.38,1375.78,Bed006-c1,b,,,,yep .
1375.78,1375.93,Bed006-c1,%,,,,e- ==
1380.16,1386.11,Bed006-c2,s,,,,this is very rough but this is sort of what um - johno and i managed to come up with .
1387.86,1389.33,Bed006-c2,s.%-,,,,the idea here is that ==
1390.28,1394.51,Bed006-c1,s,17a,,,this is the uh - s- - the schema of the x_m_l here .
1394.51,1396.84,Bed006-c1,s^e,17a+,,,not an example or something like that .
1396.13,1397.07,Bed006-c2,s^aa|s^m,17b-1,,,yeah | this is not an x_m_l .
1396.88,1397.14,Bed006-c4,s^bk,17b-2,,,o_k .
1397.07,1398.82,Bed006-c2,s^e,,,,this is sort of towards an - a schema .
1399.3,1399.48,Bed006-c2,qy^d^f^g,,,,nuh ?
1399.35,1399.51,Bed006-c0,b,,,,right .
1400.06,1400.67,Bed006-c2,s^e,,,,definition .
1401.3,1406.71,Bed006-c2,s,,,,the idea is - so imagine we have a library of schema .
1407.21,1409.56,Bed006-c2,s,,,,such as the source-path-goal .
1410.03,1413.27,Bed006-c2,s,,,,and then we have forced uh - motion .
1413.74,1415.62,Bed006-c2,s,,,,we have cost action .
1414.31,1414.61,Bed006-c4,b,,,,mm-hmm .
1416.28,1416.57,Bed006-cA,b,,,,mm-hmm .
1416.5,1417.88,Bed006-c2,s,,,,we have a whole library of schemas .
1419.08,1423.35,Bed006-c2,s,,,,and they're gonna be you know fleshed out in - in their real ugly detail .
1423.67,1424.63,Bed006-c2,s^rt,,,,source-path-goal .
1424.63,1429.78,Bed006-c2,s,,,,and there's gonna be s- - a lot of stuff on the goal and blah-blah-blah that a goal can be and so forth .
1430.45,1432.3,Bed006-c2,s.%--,,,,what we think is ==
1433.06,1435.83,Bed006-c2,s^cs,,,,and all the names could - should be taken cum grano salis .
1435.89,1436.1,Bed006-c2,fh,,,,so ==
1436.43,1437.16,Bed006-c2,s.%--,,,,this is a ==
1437.77,1443.93,Bed006-c2,s,,,,the fact that we're calling this action schema right now should not entail that we are going to continue calling this action schema .
