Bmr025-c4_0000040_0000110,yeah .,yeah .,z,z
Bmr025-c1_0001733_0002823,um - so ==,um - so ==,fh,fh
Bmr025-c1_0003600_0007190,if we can't we can't but uh we're going to try to make this an abbreviated meeting .,if we can't we can't but uh we're gonna try to make this an abbreviated meeting .,s^t,s^t
Bmr025-c1_0007190_0011950,because the - the next - next occupants were pushing for it .,cuz the - the next - next occupants were pushing for it .,s^df,s^df
Bmr025-c1_0012000_0012280,so ==,so ==,fh,fh
Bmr025-c1_0013432_0013952,um .,um .,fh,fh
Bmr025-c1_0017720_0017950,so ==,so ==,fh,fh
Bmr025-c1_0019020_0026937,agenda is - according to this is transcription status darpa demos x m l tools disks backups et cetera and crosspads .,agenda is - according to this is transcription status darpa demos x_m_l tools disks backups et cetera and crosspads .,s^t,s^t
Bmr025-ca_0029110_0031030,does anyone have anything to add to the agenda ?,does anyone have anything to add to the agenda ?,qy^rt^t,qy^rt^t
Bmr025-c1_0033288_0033598,okay .,o_k .,s^bk^rt,s^bk^rt
Bmr025-c1_0035706_0036526,should we just go in order ?,should we just go in order ?,qy^rt^t,qy^rt^t
Bmr025-c1_0036616_0037576,transcription status .,transcription status .,s^e^rt,s^e^rt
Bmr025-c1_0037576_0038526,who's - that's probably you .,who's - that's probably you .,s,s
Bmr025-c0_0038618_0039458,i can do that quickly .,i can do that quickly .,s^na,s^na
Bmr025-c0_0039458_0041398,um i hired several more transcribers .,um i hired several more transcribers .,s^rt,s^rt
Bmr025-c0_0041398_0042628,they're making great progress .,they're making great progress .,s,s
Bmr025-c1_0041859_0042259,seven ?,seven ?,qy^bu^d^rt,qy^bu^d^rt
Bmr025-c0_0042628_0043938,seve- - several several .,seve- - several several .,s^bc^nd,s^bc^nd
Bmr025-c1_0043610_0043900,oh .,oh .,s^bk,s^bk
Bmr025-c0_0046403_0047153,and uh ==,and uh ==,fh,fh
Bmr025-c0_0047891_0048671,and uh ==,and uh ==,fh,fh
Bmr025-c0_0049730_0052870,uh i've been uh finishing up the uh double checking .,uh i've been uh finishing up the uh double checking .,s,s
Bmr025-c0_0053511_0054811,i hoped to have had that done by today .,i hoped to have had that done by today .,s,s
Bmr025-c0_0054811_0055911,but it's going to take one more week .,but it's gonna take one more week .,s,s
Bmr025-ca_0057030_0057430,um ==,um ==,fg,fg
Bmr025-ca_0058430_0066450,as a somewhat segue into the next topic um - could i get a hold of uh - the data even if it's not really corrected yet ?,as a somewhat segue into the next topic um - could i get a hold of uh - the data even if it's not really corrected yet ?,qy^rt,qy^rt
Bmr025-c3_0058471_0058751,i g- ==,i g- ==,%-,%-
Bmr025-ca_0066450_0068200,just so i can get the data formats .,just so i can get the data formats .,s^df^e,s^df^e
Bmr025-ca_0068810_0071000,and make sure the information retrieval stuff is working .,and make sure the information retrieval stuff is working .,s^df^e,s^df^e
Bmr025-c0_0071030_0071340,certainly .,certainly .,s^aa,s^aa
Bmr025-c0_0071390_0072760,yeah i mean it's in the same place it's been .,yeah i mean it's in the same place it's been .,s,s
Bmr025-ca_0071780_0072260,so can you just ?==,so can you just ?==,qy.%-,qy.%-
Bmr025-ca_0072880_0073230,oh it is ?,oh it is ?,qh^rt,qh^rt
Bmr025-ca_0073230_0073440,okay .,o_k .,s^bk,s^bk
Bmr025-c0_0073390_0074100,uhhuh no change .,uh-huh no change .,s^aa,s^aa
Bmr025-ca_0073440_0076620,just - so transcripts is the sub directory ?,just - so transcripts is the sub-directory ?,qy^bu^d^rt,qy^bu^d^rt
