Bed012-c2_0081836_0085556,so i guess this is more or less now just to get you up to date johno .,so i guess this is more or less now just to get you up to date johno .,s^rt^t,s^rt^t
Bed012-c2_0086870_0088200,this is what uh ==,this is what uh ==,s.%-,s.%-
Bed012-c3_0089335_0090235,this is a meeting for me .,this is a meeting for me .,s^j,s^j
Bed012-c2_0091000_0092120,um ==,um ==,fh,fh
Bed012-c2_0092740_0096601,eva bhaskara and i did .,eva bhaskara and i did .,s,s
Bed012-c4_0097474_0099214,did you add more stuff to it later ?,did you add more stuff to it later ?,qy^rt,qy^rt
Bed012-c2_0099580_0100560,um | why ?,um | why ?,h|qw^rt,h|qw^rt
Bed012-c4_0101132_0102352,um | i don't know .,um | i don't know .,h|s^bd,h|s^bd
Bed012-c4_0102432_0104282,there were like the @reject@ - you know and all that stuff .,there were like the {@reject@} - you know and all that stuff .,s,s
Bed012-c4_0104312_0106022,but i thought you - you said you were adding stuff .,but i thought you - you said you were adding stuff .,s,s
Bed012-c4_0106022_0106602,but i don't know .,but i don't know .,s^bd,s^bd
Bed012-c2_0106501_0107341,uh | no .,uh | no .,h|s^ar,h|s^ar
Bed012-c2_0107401_0108181,this is ==,this is ==,%--,%--
Bed012-c2_0110002_0110842,um ==,um ==,fh,fh
Bed012-c2_0112482_0112602,ha !,ha !,s^fe,s^fe
Bed012-c2_0113523_0113983,very nice .,very nice .,s^ba,s^ba
Bed012-c2_0115410_0122841,um so we thought that we can write up uh an element .,um so we thought that we can write up uh an element .,s^cs^rt,s^cs^rt
Bed012-c2_0124764_0130243,and - for each of the situation nodes that we observed in the bayes net .,and - for each of the situation nodes that we observed in the bayes-net .,s^e^rt,s^e^rt
Bed012-c2_0132319_0132929,so ==,so ==,fh,fh
Bed012-c2_0134570_0137180,what's the situation like at the entity that is mentioned ?,what's the situation like at the entity that is mentioned ?,qw^rt,qw^rt
Bed012-c2_0137180_0138230,if we know anything about it .,if we know anything about it .,s^e^rt,s^e^rt
Bed012-c2_0138230_0139530,is it under construction ?,is it under construction ?,qy^rt,qy^rt
Bed012-c2_0139530_0142887,or is it on fire or something happening to it ?,or is it on fire or something happening to it ?,qrr^rt,qrr^rt
Bed012-c2_0142887_0143567,or is it stable ?,or is it stable ?,qrr^rt,qrr^rt
Bed012-c2_0144300_0144760,and so forth .,and so forth .,s^e,s^e
Bed012-c2_0144850_0157287,going all the way um f- - through parking location hotel car restroom riots fairs strikes or disasters .,going all the way um f- - through parking location hotel car restroom riots fairs strikes or disasters .,s,s
Bed012-c3_0157170_0160320,so is - this is - a situation are - is all the things which can be happening right now ?,so is - this is - a situation are - is all the things which can be happening right now ?,qy^rt,qy^rt
Bed012-c3_0161490_0163980,or what is the situation type ?,or what is the situation type ?,qrr^rt,qrr^rt
Bed012-c2_0165769_0171049,that's basically just specifying the - the input for the - w- - what's ==,that's basically just specifying the - the input for the - w- - what's ==,s.%-,s.%-
Bed012-c3_0172020_0172540,oh i see .,oh i see .,s^bk,s^bk
Bed012-c3_0172540_0174100,y- - why are you specifying it in x m l ?,y- - why are you specifying it in x_m_l ?,qw^rt,qw^rt
Bed012-c2_0174797_0180283,um | just because it forces us to be specific about the values here .,um | just because it forces us to be specific about the values here .,h|s^df^rt,h|s^df^rt
Bed012-c3_0181809_0182109,okay .,o_k .,s^bk,s^bk
Bed012-c2_0182680_0185960,and also i mean this is a - what the input is going to be .,and also i mean this is a - what the input is going to be .,s^e,s^e
Bed012-c2_0186280_0186560,right ?,right ?,qy^d^g^rt,qy^d^g^rt
Bed012-c2_0187030_0187790,so we will uh ==,so we will uh ==,s^cc.%-,s^cc.%-
Bed012-c2_0188180_0189480,this is a schema this is ==,this is a schema this is ==,s.%-,s.%-
Bed012-c3_0189610_0195220,well yeah | i just don't know if this is th- - l- - what the - does - this is what java bayes takes as a bayes net spec ?,well yeah | i just don't know if this is th- - l- - what the - does - this is what java bayes takes as a bayes-net spec ?,fg|qy^rt,fg|qy^rt
Bed012-c2_0194094_0200744,no | because i mean if we - i mean we're sure going to interface to - we're going to get an x m l document from somewhere .,no | because i mean if we - i mean we're sure gonna interface to - we're gonna get an x_m_l document from somewhere .,s^ar|s^df,s^ar|s^df
Bed012-c2_0201610_0201810,right ?,right ?,qy^d^g^rt,qy^d^g^rt
Bed012-c2_0201930_0211240,and that x m l document will say we are able to - we were able to observe that w- - the element um of the location that the car is near .,and that x_m_l document will say we are able to - we were able to observe that w- - the element um of the location that the car is near .,s:s,s:s
Bed012-c2_0212730_0216165,so that's going to be um ==,so that's gonna be um ==,s.%--,s.%--
Bed012-c3_0216360_0218230,so this is the situational context everything in it .,so this is the situational context everything in it .,s^bu,s^bu
Bed012-c3_0218230_0219510,is that what situation is short for ?,is that what situation is short for ?,qy^rt,qy^rt
Bed012-c3_0219510_0220650,shi- - situational context ?,shi- - situational context ?,qy^bu^e^rt,qy^bu^e^rt
Bed012-c2_0221628_0221798,yep .,yep .,s^aa,s^aa
Bed012-c3_0222120_0222250,okay .,o_k .,s^bk,s^bk
Bed012-c2_0224040_0231808,so this is just again a- - an x m l schemata which defines a set of possible uh permissible x m l structures .,so this is just again a- - an x_m_l schemata which defines a set of possible uh permissible x_m_l structures .,s^rt,s^rt
Bed012-c2_0232309_0234849,which we view as input into the bayes net .,which we view as input into the bayes-net .,s^e,s^e
Bed012-c2_0238122_0238442,right ?,right ?,qy^d^f^g^rt,qy^d^f^g^rt
Bed012-c3_0238790_0244053,and then we can r- - uh possibly run one of them uh transformations ?,and then we can r- - uh possibly run one of them uh transformations ?,qy^bu^d^rt,qy^bu^d^rt
Bed012-c3_0244363_0247513,that put it into the format that the bayes n- - or java bayes or whatever wants .,that put it into the format that the bayes n- - or java bayes or whatever wants .,s^e^rt,s^e^rt
